,Search_for,University_name,State_location
137,AKTU,"Dr. A.P.J. Abdul Kalam Technical University, Lucknow",1 day ago
138,Rajiv Ghandhi proudhauki vishvidlya,Rajiv Gandhi Proudhauki Vishwavidyalaya,"near Pune, Maharashtra"
139,Chhattisgarh Swami Vivekananda Technical University,CSVTU Bhilai,"Public university in Bhilai, Chhattisgarh"
140,Guru Gobind Singh Indraprastha University,Guru Gobind Singh Indraprastha University,University in Delhi
141,Mumbai,Mumbai,City in Maharashtra
142,Mumbai university,University of Mumbai,"Public university in Mumbai, Maharashtra"
143,Mumbai university,University of Mumbai,"Public university in Mumbai, Maharashtra"
144,West Bengal University,Colleges/Universities,West Bengal
145,Mumbai university,University of Mumbai,"Public university in Mumbai, Maharashtra"
146,Mumbai university,University of Mumbai,"Public university in Mumbai, Maharashtra"
147,Visvesvaraya Technological University,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
148,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
149,Rgpv,Rajiv Gandhi Proudyogiki Vishwavidyalaya,"University in Bhopal, Madhya Pradesh"
150,Anna University,Anna University,The Indian Express1 hour ago
151,Mumbai,Mumbai,City in Maharashtra
152,Rajiv Gandhi Proudyogiki Vishwavidyalaya,Rajiv Gandhi Proudyogiki Vishwavidyalaya,"University in Bhopal, Madhya Pradesh"
153,MUMBAI UNIVERSITY,University of Mumbai,"Public university in Mumbai, Maharashtra"
154,Manipal University,Manipal Academy of Higher Education,"University in Manipal, Karnataka"
155,Lovely Professional University,LPU,"Private university in Phagwara, Punjab"
156,Swami Ramanada Tirth Maharatwada university nanded,"Swami Ramanand Teerth Marathwada University, Nanded","University in Nanded, Maharashtra"
157,Solapur University,Punyashlok Ahilyadevi Holkar Solapur University,"University in Solapur, Maharashtra"
158,Mumbai,Mumbai,City in Maharashtra
159,Gujarat Technological University,Gujarat Technological University,"University in Ahmedabad, Gujarat"
160,Chandigarh University,Chandigarh University,"Private university in Ajitgarh, Punjab"
161,RGPV,Rajiv Gandhi Proudyogiki Vishwavidyalaya,"University in Bhopal, Madhya Pradesh"
162,Biju Patnaik University of technology,Biju Patnaik University of Technology Rourkela Odisha,"University in Rourkela, Odisha"
163,"The University of Sheffield, UK",The University of Sheffield,"Public university in Sheffield, England"
164,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
165,Dr.Harisingh Gour vishwavidyalaya,Dr. Harisingh Gour University,"University in Sagar, Madhya Pradesh"
166,Dr. HariSingh Gour Vishwavidyalaya Sagar (M.P.),Dr. Harisingh Gour University,"University in Sagar, Madhya Pradesh"
167,Mumbai university,University of Mumbai,"Public university in Mumbai, Maharashtra"
168,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
169,JNTU Kakinada,"Jawaharlal Nehru Technological University, Kakinada","University in Kakinada, Andhra Pradesh"
170,SRM Institute of Science and Technology,SRM Institute of Science and Technology,"Deemed university in Chennai, Tamil Nadu"
171,AKTU,"Dr. A.P.J. Abdul Kalam Technical University, Lucknow",1 day ago
172,SPPU,Savitribai Phule Pune University,"University in Pune, Maharashtra"
173,Rajiv Gandhi Proudyogiki Vishwavidyalaya,Rajiv Gandhi Proudyogiki Vishwavidyalaya,"University in Bhopal, Madhya Pradesh"
174,Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
175,Osmania University,Osmania University,"Public university in Hyderabad, Telangana"
176,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
177,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
178,JNTUH,Jawaharlal Nehru Technological University Hyderabad,"Public university in Hyderabad, Telangana"
179,Rastrasant Tukdoji Maharaj Nagpur University,Rashtrasant Tukadoji Maharaj Nagpur University,"Public university in Nagpur, Maharashtra"
180,SNDT,Sndt,"near Pune, Maharashtra"
181,Jawaharlal Nehru Technological University KAKINADA,"Jawaharlal Nehru Technological University, Kakinada","University in Kakinada, Andhra Pradesh"
182,RTMNU,Rashtrasant Tukadoji Maharaj Nagpur University,"Public university in Nagpur, Maharashtra"
183,Savitribai Phule University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
184,Acharya Nagarjuna University,Acharya Nagarjuna University,"University in Guntur, Andhra Pradesh"
185,Bharti Vidyapeeth University,Bharati Vidyapeeth Deemed University,"Deemed university in Pune, Maharashtra"
186,Savitri Bai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
187,Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University Hyderabad,"Public university in Hyderabad, Telangana"
188,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
189,SRTMUN,"Swami Ramanand Teerth Marathwada University, Nanded","University in Nanded, Maharashtra"
190,Rajiv gandhi technical university,Rajiv Gandhi Proudyogiki Vishwavidyalaya,"University in Bhopal, Madhya Pradesh"
191,"Jawaharlal Nehru technological university, Hyderabad",Jawaharlal Nehru Technological University Hyderabad,"Public university in Hyderabad, Telangana"
192,Bharathidasan,Bharathidasan,Poet
193,RGPV,Rajiv Gandhi Proudyogiki Vishwavidyalaya,"University in Bhopal, Madhya Pradesh"
194,"College of Engineering, Guindy","College of Engineering, Guindy","College in Chennai, Tamil Nadu"
195,Maulana Abul Kalam Azad University of Technology,"Maulana Abul Kalam Azad University of Technology, West Bengal","University in Kolkata, West Bengal"
196,Savitribai phule pune university,Savitribai Phule Pune University,"University in Pune, Maharashtra"
197,Jntu,Jntu,"near Pune, Maharashtra"
198,Autonomous Institute,Colleges,"near Pune, Maharashtra"
199,Maulana Abul Kalam Azad University of Technology,"Maulana Abul Kalam Azad University of Technology, West Bengal","University in Kolkata, West Bengal"
200,Biju Patnaik University of Technology,Biju Patnaik University of Technology Rourkela Odisha,"University in Rourkela, Odisha"
201,ITM University,Itm University,"near Pune, Maharashtra"
202,C. V. Raman Global University,C. V. Raman Global University,"College in Bhubaneswar, Odisha"
203,JNTUA,Jawaharlal Nehru Technological University Anantapuramu,"University in Anantapur, Andhra Pradesh"
204,Nagpur University,Rashtrasant Tukadoji Maharaj Nagpur University,"Public university in Nagpur, Maharashtra"
205,University of Mumbai,University of Mumbai,"Public university in Mumbai, Maharashtra"
206,VTU,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
207,Biju Patnaik University of Technology,Biju Patnaik University of Technology Rourkela Odisha,"University in Rourkela, Odisha"
